No. Of Modules,Module Company,No. of Optimizers,Optimizers Company,Inverter Company,Battery Company,Rails,Clamps,Disconnects,Conduits
25,Hanwa Cell,11,SOLAREDGE U650 POWER OPTIMIZER,SOLAREDGE USE3800H-USMNBL75,SOLAREDGE ENERGY BANK BAT-10K1P,UNIRAC UNIVERSAL SOLARHOOKS CT 5,NXT UMOUNT COMBO CLAMP,EATON DG221URB,"3/4"" EMT"
10,Maxeon 7 Series,8,SolarEdge P-Series,Enphase IQ7+ / IQ7A Microinverters,Tesla Powerwall 2,IronRidge,NXT UMOUNT™ COMBO CLAMP,Eaton DH Series,Schedule 40
4,Q.TRON BLK M-G2,6,SolarEdge S-Series,Enphase IQ8 Series,Tesla Powerwall 3,IronRidge XR Rail,SolarMount® Clamps,HU36X Series,Schedule 80
25,TOPHiKu6 Series,15,Tigo TS4-A-S,SolarEdge HD-Wave Inverter,Enphase IQ Battery 3,Dome 6.1 / S-Dome 6.1,IronRidge Universal End Clamps,DC Switch Disconnectors,"3/4"" EMT"
54,HiHero Series,20,Tigo TS4-X Series,Sunny Boy 3.0-US,Enphase IQ Battery 5P,RockIt Rail-Less System,SnapNrack Universal Mid Clamps,HU36X Series,Schedule 40
34,HiHero Series,45,Huawei SUN2000-450W-P2,Sungrow SG-RS Series,LG RESU 10H,IronRidge,SnapNrack Universal End Clamps,Eaton DH Series,Schedule 80
65,Alpha Pure Series,23,Huawei SUN2000-600W-P,Sungrow SGxxCX Series,LG RESU Prime 16H,SnapNrack Series 100 Rail,OneMid / OneEnd Clamps,EATON DG221URB,"3/4"" EMT"
34,Tiger Pro Series,15,Enphase IQ7+ / IQ7A,Growatt MOD TL3-X Series,SolarEdge Home Battery ,UNIRAC UNIVERSAL SOLARHOOKS CT 5,SnapNrack Universal Mid Clamps,HU36X Series,"3/4"" EMT"
150,DeepBlue 4.0 X,65,Huawei SUN2000-600W-P,Sunny Boy 3.0-US,Enphase IQ Battery 5P,SnapNrack Series 100 Rail,OneMid / OneEnd Clamps,HU36X Series,Schedule 40
40,Q.TRON BLK M-G2,16,SolarEdge S-Series,Enphase IQ8 Series,Tesla Powerwall 3,IronRidge XR Rail,SolarMount® Clamps,HU36X Series,"3/4"" EMT"
